證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","13730665","2759777870","200.30","201.70","200.30","201.30","2.6000","18273"
"0051","元大中型100","83339","6434670","77.10","77.30","77.10","77.30","0.5500","281"
"0052","富邦科技","1321153","267114568","202.35","202.70","201.85","202.40","2.8500","2089"
"0053","元大電子","28356","3041401","107.65","107.65","107.15","107.30","1.1000","111"
"0055","元大MSCI金融","181522","5159534","28.32","28.50","28.32","28.43","0.1100","289"
"0056","元大高股息","26577801","949052378","35.75","35.78","35.63","35.78","0.1400","19966"
"0057","富邦摩台","20369","3031955","148.85","149.00","148.85","148.90","1.7500","134"
"0061","元大寶滬深","315185","5959516","19.13","19.13","18.82","18.82","-0.2200","190"
"006203","元大MSCI台灣","5479","510611","93.45","93.45","93.25","93.45","1.3500","114"
"006204","永豐臺灣加權","7551","889789","117.60","118.05","117.60","118.05","1.4000","76"
"006205","富邦上証","587024","18845957","32.26","32.33","31.96","32.00","-0.3500","207"
"006206","元大上證50","748554","22739469","30.70","30.70","30.29","30.30","-0.2600","137"
"006207","復華滬深","18994","463852","24.48","24.48","24.36","24.44","-0.2100","116"
"006208","富邦台50","12676104","1498289780","117.90","118.50","117.85","118.40","1.7000","18895"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","7905939","1976143476","248.65","251.35","248.35","250.90","6.2500","8917"
"00632R","元大台灣50反1","20199392","450664010","22.37","22.39","22.25","22.27","-0.2800","4750"
"00633L","富邦上証正2","16431775","604055447","37.62","37.65","36.27","36.27","-1.4800","2849"
"00634R","富邦上証反1","1212300","5066822","4.13","4.20","4.13","4.19","0.0700","50"
"00635U","期元大S&P黃金","1244927","39038836","31.28","31.43","31.28","31.39","0.2600","681"
"00636","國泰中國A50","805401","17852206","22.42","22.46","22.08","22.09","-0.3400","417"
"00636K","國泰中國A50+U","200","1362","6.81","6.81","6.81","6.81","-0.0800","2"
"00637L","元大滬深300正2","130305666","1943569714","15.24","15.28","14.70","14.70","-0.5600","15565"
"00638R","元大滬深300反1","2438133","21645369","8.76","8.92","8.72","8.92","0.2000","144"
"00639","富邦深100","2197006","25860667","11.93","11.93","11.71","11.74","-0.1200","283"
"00640L","富邦日本正2","742810","39337400","52.75","53.15","52.75","53.00","1.0500","231"
"00641R","富邦日本反1","1339438","8121464","6.09","6.09","6.06","6.07","-0.0600","101"
"00642U","期元大S&P石油","3371629","61306865","18.20","18.21","18.16","18.19","-0.2300","611"
"00643","群益深証中小","4599658","59152085","12.99","13.00","12.78","12.82","-0.1000","270"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","581430","21960054","37.54","37.81","37.54","37.80","0.4000","481"
"00646","元大S&P500","6062176","376928733","61.90","62.25","61.85","62.25","0.7500","2317"
"00647L","元大S&P500正2","389602","40038284","102.65","103.00","102.60","102.95","2.0500","323"
"00648R","元大S&P500反1","2393843","12136791","5.07","5.08","5.06","5.07","-0.0500","148"
"00650L","復華香港正2","11280450","134212640","12.01","12.11","11.75","11.76","-0.4400","1658"
"00651R","復華香港反1","676130","5084715","7.47","7.58","7.47","7.58","0.1500","135"
"00652","富邦印度","392027","14195102","36.29","36.29","36.17","36.24","-0.1100","378"
"00653L","富邦印度正2","366422","19813407","54.10","54.20","53.80","54.10","0.0000","258"
"00654R","富邦印度反1","231000","1586690","6.85","6.88","6.84","6.88","0.0400","32"
"00655L","國泰中國A50正2","6954557","173048469","25.38","25.44","24.53","24.53","-0.9200","1337"
"00656R","國泰中國A50反1","1385260","10836943","7.74","7.86","7.74","7.85","0.1500","51"
"00657","國泰日經225","54569","2532813","46.34","46.52","46.34","46.52","0.8200","120"
"00657K","國泰日經225+U","200","2842","14.21","14.21","14.21","14.21","0.2000","2"
"00660","元大歐洲50","17281","642941","37.18","37.35","37.18","37.35","0.2000","102"
"00661","元大日經225","303398","15379921","50.55","50.80","50.55","50.80","0.9500","205"
"00662","富邦NASDAQ","2928790","268104632","91.00","91.70","91.00","91.70","1.3500","2045"
"00663L","國泰臺灣加權正2","128138","29171626","226.55","228.75","226.55","228.05","5.2500","38"
"00664R","國泰臺灣加權反1","11651133","42128638","3.62","3.63","3.60","3.62","-0.0300","741"
"00665L","富邦恒生國企正2","47612206","392297660","8.38","8.41","8.11","8.13","-0.3300","3651"
"00666R","富邦恒生國企反1","438000","5336610","12.06","12.28","12.02","12.28","0.2600","61"
"00668","國泰美國道瓊","302343","15821594","52.30","52.45","52.15","52.30","0.5500","200"
"00668K","國泰美國道瓊+U","200","3198","15.99","15.99","15.99","15.99","0.2000","2"
"00669R","國泰美國道瓊反1","1767560","11458240","6.50","6.50","6.47","6.48","-0.0700","149"
"00670L","富邦NASDAQ正2","2064341","288741218","139.75","140.30","139.60","140.05","2.9000","1627"
"00671R","富邦NASDAQ反1","5316220","18144230","3.42","3.42","3.40","3.41","-0.0400","307"
"00673R","期元大S&P原油反1","21112337","141212282","6.67","6.70","6.67","6.70","0.0800","1708"
