district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31,rps32
五股區,房地(土地+建物),新北市五股區四維路７３號四樓,19.53,商,,,1111202,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740606,91.04,2,2,1,無,無,6000000,65905,,0,0,二親等間買賣親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPQNMLMLKHIGFBF57EA,87.8,0,3.24,無,
五股區,房地(土地+建物),新北市五股區四維路８３號五樓,24.16,商,,,1111202,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760127,96.8,2,2,1,無,無,6000000,61983,,0,0,二親等間買賣親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPRNMLMLKHIGFBF67EA,92.56,0,4.24,無,
五股區,房地(土地+建物)+車位,新北市五股區新城八路２２號六樓,11.2,商,,,1111231,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060104,109.22,2,1,1,無,有,10700000,97967,坡道平面,0,2000000,,RPXNMLKLKHIGFBF97DA,47.46,0,4.53,有,282
五股區,房地(土地+建物)+車位,新北市五股區新城六路１６５號十四樓,11.48,商,,,1111215,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100517,138.68,3,2,2,有,有,17080000,132029,坡道平面,28.25,2500000,含裝潢費510000元；含傢俱設備費；,RPPOMLOJKHIGFBF47DA,60.73,8.93,4.88,有,
五股區,房地(土地+建物)+車位,新北市五股區成洲五路２８號十五樓,37.88,住,,,1111220,土地1建物1車位2,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040903,256.27,3,2,2,無,有,29000000,132137,坡道平面,70.1,4400000,,RPPNMLMJLHIGFBF37EA,109.55,7.98,11.1,有,295
五股區,房地(土地+建物)+車位,新北市五股區成泰路一段２之７號三樓,11.74,住,,,1111212,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931118,122.5,3,2,2,無,有,12600000,108981,坡道平面,23.4,1800000,陽台外推；其他增建；,RPSOMLMJLHIGFBF77EA,62.8,0.81,12.04,有,
五股區,土地,五股段599地號,29.25,都市：其他:住宅區,,,1120301,土地4建物0車位0,,,其他,,,,0,0,0,0,無,無,2566500,87744,,0,0,,RPPNMLLJLHIGFBF17DA,0,0,0,無,14
五股區,土地,五股段599地號,4.81,都市：其他:機關用地,,,1120301,土地3建物0車位0,,,其他,,,,0,0,0,0,無,無,420500,87422,,0,0,,RPQNMLLJLHIGFBF27DA,0,0,0,無,14
五股區,土地,五股段599地號,4.94,,,,1120301,土地3建物0車位0,,,其他,,,,0,0,0,0,無,無,432100,87470,,0,0,,RPRNMLLJLHIGFBF37DA,0,0,0,無,14
五股區,房地(土地+建物)+車位,新北市五股區成泰路二段１１巷１９號四樓,27.81,住,,,1120222,土地2建物1車位1,四層，五層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,791108,111.78,5,3,3,無,有,4400000,39363,坡道平面,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLTJLHIGFBF58EA,89.45,8.95,6.78,無,
五股區,房地(土地+建物),新北市五股區成泰路三段５７７巷４５號二樓,43.01,住,,,1120207,土地1建物1車位0,二層，陽台,三層,公寓(5樓含以下無電梯),住家用,加強磚造,661231,115.07,3,2,1,無,無,3200000,27809,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLNKLHIGFBF08DA,115.07,0,0,無,
五股區,房地(土地+建物)+車位,新北市五股區新五路二段６４８號十樓,22.41,住,,,1120202,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080807,127.71,3,1,1,無,有,12550000,104218,坡道平面,26.48,2000000,,RPOQMLLJLHIGFBF37DA,57.73,1.74,7.18,有,83
五股區,房地(土地+建物),新北市五股區西雲路８２巷４號三樓,21.32,住,,,1120204,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730106,69.19,2,2,1,有,無,5300000,76601,,0,0,,RPUPMLKLKHIGFBF87DA,60.76,0,8.43,無,
五股區,房地(土地+建物)+車位,新北市五股區新城三路４３號八樓,21.98,住,,,1120205,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040514,129.88,2,2,1,有,有,12800000,98553,坡道平面,30.39,0,,RPRNMLTJLHIGFBF18DA,56.3,3.95,7.35,有,202
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１９號四樓,42.49,住,,,1120131,土地1建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050204,254.79,4,2,2,有,有,20000000,78496,坡道平面,66.76,0,,RPPRMLMJKHIGFBF57DA,118.49,0,11.59,有,233
五股區,房地(土地+建物),新北市五股區成泰路一段１４５號五樓,25.38,都市：其他:住宅區,,,1120112,土地5建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760121,87.88,3,2,1,無,無,6950000,79085,,0,0,陽台外推；,RPVOMLRJLHIGFBF48DA,79.99,0,7.89,無,236
五股區,房地(土地+建物)+車位,新北市五股區民義路一段１０３之３號三樓,57.98,住,,,1120108,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011119,282.22,4,2,3,有,有,27000000,95670,坡道平面,0,0,,RPRRMLRKJHIGFBF28DA,154.89,0,22.7,有,257
