district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31,rps32
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路３００號三樓之１,27.1,住,,,1111229,土地1建物1車位1,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100915,211.54,4,2,2,無,有,29200000,138035,坡道平面,42.4,0,,RPRNMLOLKHIGFAF77EA,95.65,5.56,8.83,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路１８５號十四樓,21.81,住,,,1111225,土地1建物1車位1,十四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110815,163.45,3,2,2,有,有,31500000,219838,坡道平面,30.17,2200000,,RPRTMLLMJHIGFAF97DA,78.31,0,9.94,有,284
板橋區,房地(土地+建物),新北市板橋區中山路二段４１２巷２１弄９號五樓之１,7.6,住,,,1111209,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860906,29.97,1,1,1,無,無,4750000,158492,,0,0,頂樓加蓋；,RPOPMLMLKHIGFAF37DA,17.46,0,2.75,有,
板橋區,房地(土地+建物),新北市板橋區文化路一段３８７巷２５號五樓,28.8,住,,,1111213,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,105.63,3,2,2,無,無,6670000,63145,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLLJLHIGFAF47EA,105.63,0,0,無,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路１８７號八樓,17.14,住,,,1111218,土地1建物1車位1,八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110815,132.13,2,2,2,無,有,25250000,226069,坡道平面,30.17,2200000,,RPSQMLLJLHIGFAF67DA,61.59,0,4.97,有,
板橋區,房地(土地+建物),新北市板橋區中山路二段４１２巷２１弄２５號五樓,5.78,住,,,1111209,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860906,22.74,1,1,1,無,無,3600000,158311,,0,0,頂樓加蓋；,RPPPMLMLKHIGFAF47DA,13.42,0,1.91,有,
板橋區,房地(土地+建物)+車位,新北市板橋區文化路一段３６８號十八樓之１,3.61,住,,,1111227,土地1建物1車位1,十八層,四十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,990715,87.84,2,1,1,有,有,16580000,269302,坡道平面,33.7,2000000,陽台外推；夾層；其他增建；,RPSSMLQJKHIGFAF28DA,33.06,0,5.38,有,314
板橋區,房地(土地+建物),新北市板橋區幸福路３２巷３弄４號,20.75,住,,,1111231,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,63.92,3,2,2,無,無,13100000,204944,,0,0,其他增建；,RPPNMLLJLHIGFAF07DA,63.92,0,0,無,
板橋區,房地(土地+建物)+車位,新北市板橋區長江路二段４９號十八樓,6.53,住,,,1111222,土地1建物1車位1,十八層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870622,121.79,3,2,2,無,有,18500000,151901,坡道機械,16.23,0,,RPSOMLNJLHIGFAF67DA,72.69,1.15,8.63,有,328
板橋區,房地(土地+建物),新北市板橋區廣和街１３６號四樓,11.48,住,,,1111230,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880209,108.78,3,2,2,有,有,13800000,126862,,0,0,其他增建；,RPWQMLRKJHIGFAF58DA,79.85,0,4.19,有,
